name,lat,lon,grade
Cosmos,33.82639288018723,-116.75463598973495,10
Chumscrubber,37.583188221286825, -118.99575770160726,11
Witches Gathering,41.03180618301638, -124.11177522763073,10
Death Sentence,39.12692091725163, -119.72132567671702,10
Grotesque Old Woman,34.71474508411243, -119.7928196714638,10
